Child,Parent,Certainty Type,Notes
,,5,Siddham digits are not historically attested (see https://www.unicode.org/L2/L2013/13135-siddham-digits.pdf) so we derive directly from Gupta
,,5,Siddham digits are not historically attested (see https://www.unicode.org/L2/L2013/13135-siddham-digits.pdf) so we derive directly from Gupta
,,5,Siddham digits are not historically attested (see https://www.unicode.org/L2/L2013/13135-siddham-digits.pdf) so we derive directly from Gupta
,,5,Siddham digits are not historically attested (see https://www.unicode.org/L2/L2013/13135-siddham-digits.pdf) so we derive directly from Gupta
,,5,Siddham digits are not historically attested (see https://www.unicode.org/L2/L2013/13135-siddham-digits.pdf) so we derive directly from Gupta
,,5,Siddham digits are not historically attested (see https://www.unicode.org/L2/L2013/13135-siddham-digits.pdf) so we derive directly from Gupta
,,5,Siddham digits are not historically attested (see https://www.unicode.org/L2/L2013/13135-siddham-digits.pdf) so we derive directly from Gupta
,,5,Siddham digits are not historically attested (see https://www.unicode.org/L2/L2013/13135-siddham-digits.pdf) so we derive directly from Gupta
,,5,Siddham digits are not historically attested (see https://www.unicode.org/L2/L2013/13135-siddham-digits.pdf) so we derive directly from Gupta
,,5,Siddham digits are not historically attested (see https://www.unicode.org/L2/L2013/13135-siddham-digits.pdf) so we derive directly from Gupta
